Name,Link
"Wach, Aloys",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3332
"Wachlmayr, Aloys",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3332
"Wachsmann, Anton",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=5623
"Wachsmuth, Jeremias",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=22046
"Wachter, Jorg",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3371
"Wachtle I, Hans",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=2801
"Wacquez, Adolphe André",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3333
"Waddell, Harry Mann",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=8173
"Wade, Elizabeth Flint",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=30068
"Waechter, Georg Christian",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=27288
"Wael, Jan Baptist de",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=24035
"Wagenbauer, Max Joseph",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3334
Wagguno,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=1962
Hans Heinrich Wägmann,https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=34456
"Wagner, Carl",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=14245
"Wagner, Giuseppe",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3335
"Wagner, Johann Christoph",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=11594
"Wagner, Johann Michael",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=34755
"Wagner, Joseph",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3335
"Wagner, Karl Ernest Ludwig",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=14245
"Wagner, Morgan",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=35142
"Wagner, Stephanie",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=25881
"Wagner, Théo",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=27271
"Wagner, Théophile Pierre",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=27271
"Wahl, Theodore",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=34111
"Wakita, Kazu",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=3355
"Wakkerdak, Pieter Anthony",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=6556
"Wakoski, Diane",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=10589
"Walawska, Ewa",https://web.archive.org/web/20121007173001/http://www.nga.gov/cgi-bin/tsearch?artistid=23956
"Walbeck, Alfred",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=8174
"Walch, Jan",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=7087
"Walch, Johannes Lodewijk",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=7087
"Walcot, William",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=3336
"Walcott, Derek",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=26925
"Wald, Sylvia",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=3337
"Waldeck, Henry",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=8175
"Waldman, Anne",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=7164
"Waldmüller, Ferdinand Georg",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=12406
"Waldo, Samuel Lovett",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=1963
"Waldor, Jean",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=5960
"Wale, Samuel",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=18622
"Wales, George Canning",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=3338
"Walker, Anthony",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=3339
"Walker, Charles A.",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=25366
"Walker, George",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=3340
"Walker, John",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=1964
"Walker, John Frederick",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=24352
"Walker, Kara",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=22263
"Walker, Robert",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=3341
"Walker, William",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=3343
"Walkowitz, Abraham",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=5757
"Wall, Bernhardt",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=34112
"Wall, William Guy",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=3344
"Walla, Jindrich",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=24904
"Wallace, Frank",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=25889
"Wally, George B.",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=8258
"Walpurgis, Maria Antonia",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=34505
"Walrath, Anya",https://web.archive.org/web/20121010201121/http://www.nga.gov/cgi-bin/tsearch?artistid=23543
"Walscapelle, Jacob van",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=25759
"Walsh, Hardin",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=8176
"Waltemath, Joan",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=24353
"Walter, Caspar",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=11629
"Walters, Carl Albert",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=34113
"Walters, Dirk",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=26039
"Walters, Robert",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=3345
"Walther, Jakob",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=6554
"Walton, Kalamian",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=8177
"Walton, Lee",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=30909
"Walton, W.",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=6087
"Waltrip, Mildred",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=34114
"Wandelaar, Jan",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=27843
"Wands, Alfred James",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=34115
"Wang, Ming",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=9692
"Wangner, Jakob",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=22047
"Wankel, Bruce",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=24902
"Ward, Charles Caleb",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=27228
"Ward, Jacob C.",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=6489
"Ward, James",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=5574
"Ward, John",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=31056
"Ward, John Quincy Adams",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=2796
"Ward, Leslie, Sir",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=2797
"Ward, Lynd Kendall",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=3346
"Ward, Paul",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=8178
"Ward, Velox",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=21121
"Ward, William",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=3347
"Ward of Hull, John",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=31056
"Ware, Isaac",https://web.archive.org/web/20121010201110/http://www.nga.gov/cgi-bin/tsearch?artistid=6014
"Warhol, Andy",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=1966
"Warhola, Andrew",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=1966
"Warin, Jean",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=2295
"Warlow, Herbert Gordon",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=3348
"Warnholtz, Dean",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=5838
"Warnicke, John G.",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=6878
"Warns, Emil",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=8179
"Waroquier, Henry de",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=25097
"Warren, Alfred William",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=3349
"Warren, Charles Turner",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=3350
"Warren, George K.",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=30969
"Warrener, Lowrie Lyle",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=35138
"Warsager, Hyman J.",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=34116
"Warshaw, Howard",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=35071
"Warwick, Henry Richard Greville, 3rd earl of",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=3351
"Washburn, Cadwallader",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=3352
"Washington, William",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=3353
"Washington, William de Hartburn",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=2798
"Wasserman, Burton",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=3354
"Wasserman, Jeff",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=10727
"Watanabe, Sadao",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=3356
"Watelet, Claude Henri",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=6618
"Waterbury, Blanche",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=8180
"Waterloo, Anthonie",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=2799
"Waters, John",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=24995
"Waters, Kaye",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=34117
"Waters, Susan C.",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=1965
"Wathen, James",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=22312
"Watkins, Ardella",https://web.archive.org/web/20121010201115/http://www.nga.gov/cgi-bin/tsearch?artistid=8181
